state_name,gop_votes,dem_votes,total_votes,diff,pct_gop,pct_dem,state_abb,med_age,total_pop,race_white,race_black_afam,race_am_indian,race_asian,race_hawaiian_pi,race_other,race_two_plus,born_in_state,male_age_married,fem_age_married,hs_diploma,associate_degree,bachelors_degree,masters_degree,prof_degree,doctorate_degree,med_income,internet_any,internet_dialup,internet_broadband,pct_bach_higher,pct_broadband,pct_born_in_state,pct_white,min_wage_2020,mask_fines,paid_sick_leave,medicaid_expansion,gov_party,Region
North Dakota,235595,114902,361819,120693,0.6511404873707572,0.31756762359080093,ND,35.1,756717,655136,21985,40006,11006,8109,19612,1305,472066,28.2,26,111716,68506,107938,28430,7002,5387,64894,257877,1063,256814,0.19658207757986143,0.3393791866708426,0.6238342735791584,0.8657609119393379,Equal to federal,0,0,1,republican,Midwest
Ohio,3154834,2679165,5922202,475669,0.5327130010087464,0.45239338340705026,OH,39.4,11655397,9476047,1446193,22816,258199,112836,335426,25623,8731024,29.6,27.9,2323276,691111,1401609,628895,135452,89370,56602,3853613,18753,3834860,0.1935005731679496,0.32902010973971973,0.7490970921024827,0.8130179521126565,Greater than federal,0,0,1,republican,Midwest
Oklahoma,1020280,503890,1560699,516390,0.6537327184806295,0.32286174335986634,OK,36.6,3932870,2844070,286356,299621,85239,106709,304615,14276,2391232,27.6,25.9,680748,203387,436601,161168,37944,25796,52919,1168521,4468,1164053,0.16820006763508585,0.29598054347079866,0.6080119607309674,0.7231538291375001,Equal to federal,0,0,0,republican,South
Oregon,958448,1340383,2374321,-381935,0.4036724604634335,0.5645331865404888,OR,39.3,4129803,3480920,78679,48060,180580,126587,198352,20355,1896979,29.9,27.9,532852,257692,603359,259292,64154,49115,62818,1392333,7247,1385086,0.23631151413275645,0.3353879107550651,0.4593388595049207,0.8428779774725332,Greater than federal,0,1,1,democrat,West
Pennsylvania,3378263,3459923,6925255,-81660,0.487817849306632,0.4996094728641761,PA,40.8,12791530,10300602,1430664,24691,436324,275177,319874,40362,9221148,30.3,28.7,2757067,758348,1701365,794850,183587,134483,61744,4146164,27458,4118706,0.2200116014268817,0.3219869710660101,0.7208792067876165,0.8052673917819057,Equal to federal,0,0,1,democrat,Northeast
Rhode Island,199837,306210,516383,-106373,0.386993762381798,0.5929900868154064,RI,39.9,1057231,850597,71561,5277,35958,57807,35221,8244,599459,30.9,29.7,174032,61743,150150,72817,16444,12707,67167,345829,1163,344666,0.23847011674837384,0.3260082233684029,0.5670085345586726,0.8045517015675855,Greater than federal,0,1,1,democrat,Northeast
South Carolina,1385103,1091541,2513329,293562,0.5511029395674024,0.43430088142061785,SC,39.4,5020806,3372011,1344139,17645,78805,88274,115930,12267,2826744,29.6,28,850160,337253,614156,263830,52935,38358,53199,1508818,5887,1502931,0.19305247006157977,0.29934058396201724,0.5630060193522713,0.6716075068425269,NA,1,0,0,republican,South
South Dakota,261043,150471,422609,110572,0.6176938967225024,0.3560525213613529,SD,37,870638,733719,17531,76190,12627,7230,22837,1099,558690,27.8,26.4,147794,66074,113870,35812,9183,6215,58275,279329,1551,277778,0.1896080805110735,0.3190510866743698,0.6417018324493073,0.8427371651593429,Greater than federal,0,0,0,republican,Midwest
Tennessee,1852475,1143711,3053851,708764,0.6066029416628381,0.37451434271023704,TN,38.7,6709356,5205132,1124473,18189,117600,92655,147536,12138,4014644,28.7,26.9,1203461,334362,789448,327379,79363,57955,53320,2043089,7760,2035329,0.1869247957628124,0.30335683484376147,0.5983650293709262,0.7758020292856721,NA,0,0,0,republican,South
Texas,5890347,5259126,11317911,631221,0.5204447181109659,0.4646728534974343,TX,34.6,28260856,20903375,3428211,141425,1357273,1643869,761411,159939,16831914,28.9,27,3729737,1309005,3534714,1380140,297995,207827,61874,7961166,24013,7937153,0.19180862745275656,0.2808532409634018,0.5955910889606458,0.7396582396513397,Equal to federal,1,0,0,republican,South
Utah,865140,560282,1488289,304858,0.5812983902991959,0.37646048583306063,UT,30.8,3096848,2676482,36849,33721,71977,156229,94036,15370,1912321,26.4,24.6,362222,176978,410803,150432,33101,26169,71621,858876,3695,855181,0.20036663084529815,0.2761456164461414,0.6175056056997308,0.8642600476355313,Equal to federal,0,0,1,republican,West
Vermont,112704,242820,367428,-130116,0.3067376465593259,0.6608641693066397,VT,42.9,624313,587883,8502,2132,10461,2410,12600,428,311637,30.6,28.4,111530,38518,99016,48734,11481,8252,61973,213861,1893,211968,0.26826767983367317,0.3395220025852417,0.4991678853395653,0.9416478593269724,Greater than federal,0,1,1,republican,Northeast
Virginia,1962430,2413568,4460524,-451138,0.4399550366728214,0.5410951717780242,VA,38.2,8454463,5717617,1621592,23873,541133,223794,320275,32870,4167762,29.7,27.8,1155096,448739,1272608,711810,147534,108408,74222,2656131,11554,2644577,0.264991401582809,0.31280248077258127,0.4929659045169397,0.6762838751556427,Equal to federal,0,0,1,democrat,South
Washington,1584651,2369612,4087631,-784961,0.3876697774334327,0.5797030113530306,WA,37.7,7404107,5581128,281683,94449,631333,333038,433386,43021,3457119,29.5,27.3,925707,509353,1144545,497712,113613,81742,73775,2525901,9716,2516185,0.24818820149411672,0.3398363908031043,0.466919103141,0.7537881340720765,Greater than federal,1,1,1,democrat,West
West Virginia,545382,235984,794652,309398,0.6863155192461606,0.29696521244519614,WV,42.5,1817305,1691600,66990,3667,14523,7971,32135,1698,1254315,28.7,26.7,432826,94488,159196,77953,16224,12025,46711,559747,3058,556689,0.14603932746567033,0.3063266760395201,0.6902061018926378,0.9308288922332796,Greater than federal,0,0,1,democrat,South
Wisconsin,1610065,1630673,3297352,-20608,0.488290300823206,0.4945401643500603,WI,39.5,5790716,4946961,371200,51392,161841,118350,138572,17096,4124124,29.6,27.8,1073887,429430,780824,294273,68736,47496,61747,1960079,14315,1945764,0.20573086298827295,0.3360144065086252,0.7121958666251289,0.8542917663377033,Equal to federal,1,0,0,democrat,Midwest
Wyoming,193559,73491,276765,120068,0.6993622748541181,0.26553574332014523,WY,37.7,581024,531304,5582,14164,5025,8832,15521,1874,246126,28,25.7,93507,43761,68269,28366,5748,4472,64049,193139,1133,192006,0.18390806575976207,0.33046139230049015,0.4236072864459988,0.9144269427768904,Less than federal,0,0,0,republican,West
